variable_group	variable_subtype_list	public_facing_name	symbology_colormap_type	symbology_colormap	symbology_min_value	symbology_max_value	symbology_fixed_value_list
pct_change_SPI	['GWL11C_D3_timescale_24months', 'GWL15C_D3_timescale_24months', 'GWL20C_D3_timescale_24months', 'GWL25C_D3_timescale_24months']	Change in Drought Exposure (Precipitation Only)	Diverging Wet-to-Dry	updated_wetdry	-360	360	--
pct_change_SPI	['GWL11C_D4_timescale_1months', 'GWL15C_D4_timescale_1months', 'GWL20C_D4_timescale_1months', 'GWL25C_D4_timescale_1months']	Change in Drought Exposure (Precipitation Only)	Diverging Wet-to-Dry	updated_wetdry	-200	200	--
pct_change_SPI	['GWL11C_D4_timescale_3months', 'GWL15C_D4_timescale_3months', 'GWL20C_D4_timescale_3months', 'GWL25C_D4_timescale_3months']	Change in Drought Exposure (Precipitation Only)	Diverging Wet-to-Dry	updated_wetdry	-220	220	--
pct_change_SPI	['GWL11C_D4_timescale_6months', 'GWL15C_D4_timescale_6months', 'GWL20C_D4_timescale_6months', 'GWL25C_D4_timescale_6months']	Change in Drought Exposure (Precipitation Only)	Diverging Wet-to-Dry	updated_wetdry	-280	280	--
pct_change_SPI	['GWL11C_D4_timescale_12months', 'GWL15C_D4_timescale_12months', 'GWL20C_D4_timescale_12months', 'GWL25C_D4_timescale_12months']	Change in Drought Exposure (Precipitation Only)	Diverging Wet-to-Dry	updated_wetdry	-360	360	--
pct_change_SPI	['GWL11C_D4_timescale_24months', 'GWL15C_D4_timescale_24months', 'GWL20C_D4_timescale_24months', 'GWL25C_D4_timescale_24months']	Change in Drought Exposure (Precipitation Only)	Diverging Wet-to-Dry	updated_wetdry	-640	640	--
growing_degree_days	['REF_actual_values']	Growing Degree Days	Sequential Warm Light-to-Dark	cmo.amp	0	6000	--
growing_degree_days	['GWL11C_minus_REF_change', 'GWL15C_minus_REF_change', 'GWL20C_minus_REF_change', 'GWL25C_minus_REF_change']	Growing Degree Days	Diverging Cool-to-Warm	cmo.balance	-1000	1000	--
frost_free_season	['REF_actual_values']	Frost Free Season	Sequential Warm Light-to-Dark	cmo.amp	0	365	--
frost_free_season	['GWL11C_minus_REF_change', 'GWL15C_minus_REF_change', 'GWL20C_minus_REF_change', 'GWL25C_minus_REF_change']	Frost Free Season	Diverging Cool-to-Warm	cmo.balance	-30	30	--
mean_annual_temp	['REF_actual_values']	Mean Annual Temperature	Sequential Warm Light-to-Dark (actual values)	updated_govoffice_heat	20	60	--
mean_annual_temp	['GWL11C_minus_REF_change', 'GWL15C_minus_REF_change', 'GWL20C_minus_REF_change', 'GWL25C_minus_REF_change']	Mean Annual Temperature	Diverging Cool-to-Warm	cmo.balance	-6	6	--
R95p	['GWL11C_minus_REF_absoule_change', 'GWL15C_minus_REF_absoule_change', 'GWL20C_minus_REF_absoule_change', 'GWL25C_minus_REF_absoule_change']	Extreme precipitation Events	Diverging Dry-to-Wet	updated_wetdry_r	-30	30	--
R95p	['GWL11C_minus_REF_relative_change', 'GWL15C_minus_REF_relative_change', 'GWL20C_minus_REF_relative_change', 'GWL25C_minus_REF_relative_change']	Extreme precipitation Events	Diverging Dry-to-Wet	updated_wetdry_r	-30	30	--
R95p	['GWL11C_actual_values', 'GWL15C_actual_values', 'GWL20C_actual_values', 'GWL25C_actual_values', 'REF_actual_values']	Extreme precipitation Events	Sequential Precip Light-to-Dark	updated_govoffice_rain	40	300	--
rlo	['10m_GWL20C_SON_actual_values', '10m_GWL20C_DJF_actual_values', '10m_GWL20C_MAM_actual_values', '10m_GWL20C_JJA_actual_values', '10m_GWL20C_ANN_actual_values', '10m_GWL11C_SON_actual_values', '10m_GWL11C_DJF_actual_values', '10m_GWL11C_MAM_actual_values', '10m_GWL11C_JJA_actual_values', '10m_GWL11C_ANN_actual_values', '10m_GWL15C_SON_actual_values', '10m_GWL15C_DJF_actual_values', '10m_GWL15C_MAM_actual_values', '10m_GWL15C_JJA_actual_values', '10m_GWL15C_ANN_actual_values', '10m_hist_SON_actual_values', '10m_hist_DJF_actual_values', '10m_hist_MAM_actual_values', '10m_hist_JJA_actual_values', '10m_hist_ANN_actual_values', '10m_GWL25C_SON_actual_values', '10m_GWL25C_DJF_actual_values', '10m_GWL25C_MAM_actual_values', '10m_GWL25C_JJA_actual_values', '10m_GWL25C_ANN_actual_values', '100m_GWL25C_SON_actual_values', '100m_GWL25C_DJF_actual_values', '100m_GWL25C_MAM_actual_values', '100m_GWL25C_JJA_actual_values', '100m_GWL25C_ANN_actual_values', '100m_hist_SON_actual_values', '100m_hist_DJF_actual_values', '100m_hist_MAM_actual_values', '100m_hist_JJA_actual_values', '100m_hist_ANN_actual_values', '100m_GWL15C_SON_actual_values', '100m_GWL15C_DJF_actual_values', '100m_GWL15C_MAM_actual_values', '100m_GWL15C_JJA_actual_values', '100m_GWL15C_ANN_actual_values', '100m_GWL11C_SON_actual_values', '100m_GWL11C_DJF_actual_values', '100m_GWL11C_MAM_actual_values', '100m_GWL11C_JJA_actual_values', '100m_GWL11C_ANN_actual_values', '100m_GWL20C_SON_actual_values', '100m_GWL20C_DJF_actual_values', '100m_GWL20C_MAM_actual_values', '100m_GWL20C_JJA_actual_values', '100m_GWL20C_ANN_actual_values']	Share of Productive Days	Sequential Speed Light-to-Dark	cmo.speed	0	1.0	--
rlo	['GWL11C_ANN_absolute_change', 'GWL15C_ANN_absolute_change', 'GWL20C_ANN_absolute_change', 'GWL25C_ANN_absolute_change']	Share of Productive Days	Diverging Cool-to-Warm	cmo.balance	-0.06	0.06	--
Rx1day	['GWL11C_minus_REF_absoule_change', 'GWL15C_minus_REF_absoule_change', 'GWL20C_minus_REF_absoule_change', 'GWL25C_minus_REF_absoule_change']	Heavy Daily precipitation	Diverging Dry-to-Wet	updated_wetdry_r	-10	10	--
Rx1day	['GWL11C_minus_REF_relative_change', 'GWL15C_minus_REF_relative_change', 'GWL20C_minus_REF_relative_change', 'GWL25C_minus_REF_relative_change']	Heavy Daily precipitation	Diverging Dry-to-Wet	updated_wetdry_r	-20	20	--
Rx1day	['GWL11C_actual_values', 'GWL15C_actual_values', 'GWL20C_actual_values', 'GWL25C_actual_values', 'REF_actual_values']	Heavy Daily precipitation	Sequential Precip Light-to-Dark	updated_govoffice_rain	15	80	--
Rx1hour	['GWL11C_minus_REF_absoule_change', 'GWL15C_minus_REF_absoule_change', 'GWL20C_minus_REF_absoule_change', 'GWL25C_minus_REF_absoule_change']	Heavy 1 Hour precipitation	Diverging Dry-to-Wet	updated_wetdry_r	-5	5	--
Rx1hour	['GWL11C_minus_REF_relative_change', 'GWL15C_minus_REF_relative_change', 'GWL20C_minus_REF_relative_change', 'GWL25C_minus_REF_relative_change']	Heavy 1 Hour precipitation	Diverging Dry-to-Wet	updated_wetdry_r	-30	30	--
Rx1hour	['GWL11C_actual_values', 'GWL15C_actual_values', 'GWL20C_actual_values', 'GWL25C_actual_values', 'REF_actual_values']	Heavy 1 Hour precipitation	Sequential Precip Light-to-Dark	updated_govoffice_rain	3	23	--
Rx5day	['GWL11C_minus_REF_absoule_change', 'GWL15C_minus_REF_absoule_change', 'GWL20C_minus_REF_absoule_change', 'GWL25C_minus_REF_absoule_change']	Heavy 5 Day precipitation	Diverging Dry-to-Wet	updated_wetdry_r	-20	20	--
Rx5day	['GWL11C_minus_REF_relative_change', 'GWL15C_minus_REF_relative_change', 'GWL20C_minus_REF_relative_change', 'GWL25C_minus_REF_relative_change']	Heavy 5 Day precipitation	Diverging Dry-to-Wet	updated_wetdry_r	-15	15	--
Rx5day	['GWL11C_actual_values', 'GWL15C_actual_values', 'GWL20C_actual_values', 'GWL25C_actual_values', 'REF_actual_values']	Heavy 5 Day precipitation	Sequential Precip Light-to-Dark	updated_govoffice_rain	25	150	--
SWE_peak_mm	['historical', 'GWL_1.5', 'GWL_1.1', 'GWL_3.0', 'GWL_2.5', 'GWL_2.0']	Average Annual Peak Snow Water Equivalent	Sequential Cool Light-to-Dark	cmo.ice_r	0	1000	--
SWE_change	['GWL_1.1', 'GWL_1.5', 'GWL_2.0', 'GWL_2.5', 'GWL_3.0']	Percent Change of Snow Weater Equivalent	Sequential Warm Dark-to-Light	cmo.amp_r	-100	0	--
agg_20th_pct_change	['GWL_1.1', 'GWL_1.5', 'GWL_2.0', 'GWL_2.5']	Relative Change in Snow Drought	Sequential Warm Light-to-Dark	cmo.amp	0	250	--
agg_5th_pct_change	['GWL_1.1', 'GWL_1.5', 'GWL_2.0', 'GWL_2.5']	Relative Change in Extreme Snow Drought	Sequential Warm Light-to-Dark	cmo.amp	0	800	--
agg_95th_pct_change	['GWL_1.1', 'GWL_1.5', 'GWL_2.0', 'GWL_2.5']	Relative Change in Snow Deluge	Diverging Cool-to-Warm	cmo.balance	-100	100	--
agg_SWEREF_20th	['']	Reference Values for Snow Drought	Sequential Dry-to-Wet Light-to-Dark	cmo.deep	0	450	--
agg_SWEREF_5th	['']	Reference Values for Extreme Snow Drought	Sequential Dry-to-Wet Light-to-Dark	cmo.deep	0	350	--
agg_SWEREF_95th	['']	Reference Values for Snow Deluge	Sequential Dry-to-Wet Light-to-Dark	cmo.deep	0	1000	--
TotPpt	['GWL11C_minus_REF_absoule_change', 'GWL15C_minus_REF_absoule_change', 'GWL20C_minus_REF_absoule_change', 'GWL25C_minus_REF_absoule_change']	Total Yearly Precipitation	Diverging Dry-to-Wet	updated_wetdry_r	-140	140	--
TotPpt	['GWL11C_minus_REF_relative_change', 'GWL15C_minus_REF_relative_change', 'GWL20C_minus_REF_relative_change', 'GWL25C_minus_REF_relative_change']	Total Yearly Precipitation	Diverging Dry-to-Wet	updated_wetdry_r	-12	12	--
TotPpt	['GWL11C_actual_values', 'GWL15C_actual_values', 'GWL20C_actual_values', 'GWL25C_actual_values', 'REF_actual_values']	Total Yearly Precipitation	Sequential Precip Light-to-Dark	updated_govoffice_rain	200	1500	--
TX90F	['GWL11C_minus_REF_absoule_change', 'GWL15C_minus_REF_absoule_change', 'GWL20C_minus_REF_absoule_change', 'GWL25C_minus_REF_absoule_change']	Hot Days Above 90°F	Sequential Warm Light-to-Dark (one-sided change)	cmo.amp	0	45	--
TX90F	['GWL11C_actual_values', 'GWL15C_actual_values', 'GWL20C_actual_values', 'GWL25C_actual_values', 'REF_actual_values']	Hot Days Above 90°F	Sequential Warm Light-to-Dark (actual values)	updated_govoffice_heat	0	120	--
TX95F	['GWL11C_minus_REF_absoule_change', 'GWL15C_minus_REF_absoule_change', 'GWL20C_minus_REF_absoule_change', 'GWL25C_minus_REF_absoule_change']	Hot Days Above 95°F	Sequential Warm Light-to-Dark (one-sided change)	cmo.amp	0	45	--
TX95F	['GWL11C_actual_values', 'GWL15C_actual_values', 'GWL20C_actual_values', 'GWL25C_actual_values', 'REF_actual_values']	Hot Days Above 95°F	Sequential Warm Light-to-Dark (actual values)	updated_govoffice_heat	0	80	--
TX95p	['GWL11C_minus_REF_absoule_change', 'GWL15C_minus_REF_absoule_change', 'GWL20C_minus_REF_absoule_change', 'GWL25C_minus_REF_absoule_change']	Days over the historical 95 percentile max temp	Sequential Warm Light-to-Dark (one-sided change)	cmo.amp	5	50	--
TX95p	['GWL11C_actual_values', 'GWL15C_actual_values', 'GWL20C_actual_values', 'GWL25C_actual_values', 'REF_actual_values']	Days over the historical 95 percentile max temp	Sequential Warm Light-to-Dark (actual values)	updated_govoffice_heat	15	65	--
TxN5day	['GWL11C_minus_REF_absoule_change', 'GWL15C_minus_REF_absoule_change', 'GWL20C_minus_REF_absoule_change', 'GWL25C_minus_REF_absoule_change']	Daily Minimum Temps for the Worst 5-Day Heat Wave	Sequential Warm Light-to-Dark (one-sided change)	cmo.amp	1	7	--
TxN5day	['GWL11C_actual_values', 'GWL15C_actual_values', 'GWL20C_actual_values', 'GWL25C_actual_values', 'REF_actual_values']	Daily Minimum Temps for the Worst 5-Day Heat Wave	Sequential Warm Light-to-Dark (actual values)	updated_govoffice_heat	45	80	--
TxN65F	['GWL11C_minus_REF_absoule_change', 'GWL15C_minus_REF_absoule_change', 'GWL20C_minus_REF_absoule_change', 'GWL25C_minus_REF_absoule_change']	Warm Nights Not Dropping Below 65 °F	Sequential Warm Light-to-Dark (one-sided change)	cmo.amp	0	50	--
TxN65F	['GWL11C_actual_values', 'GWL15C_actual_values', 'GWL20C_actual_values', 'GWL25C_actual_values', 'REF_actual_values']	Warm Nights Not Dropping Below 65 °F	Sequential Warm Light-to-Dark (actual values)	updated_govoffice_heat	0	120	--
TxN80F	['GWL11C_minus_REF_absoule_change', 'GWL15C_minus_REF_absoule_change', 'GWL20C_minus_REF_absoule_change', 'GWL25C_minus_REF_absoule_change']	Warm Nights Not Dropping Below 80 °F	Sequential Warm Light-to-Dark (one-sided change)	cmo.amp	0	12	--
TxN80F	['GWL11C_actual_values', 'GWL15C_actual_values', 'GWL20C_actual_values', 'GWL25C_actual_values', 'REF_actual_values']	Warm Nights Not Dropping Below 80 °F	Sequential Warm Light-to-Dark (actual values)	updated_govoffice_heat	0	12	--
TxN95p	['GWL11C_minus_REF_absoule_change', 'GWL15C_minus_REF_absoule_change', 'GWL20C_minus_REF_absoule_change', 'GWL25C_minus_REF_absoule_change']	Nights over the historical 95 percentile min temp	Sequential Warm Light-to-Dark (one-sided change)	cmo.amp	10	60	--
TxN95p	['GWL11C_actual_values', 'GWL15C_actual_values', 'GWL20C_actual_values', 'GWL25C_actual_values', 'REF_actual_values']	Nights over the historical 95 percentile min temp	Sequential Warm Light-to-Dark (actual values)	updated_govoffice_heat	15	75	--
TxX5day	['GWL11C_minus_REF_absoule_change', 'GWL15C_minus_REF_absoule_change', 'GWL20C_minus_REF_absoule_change', 'GWL25C_minus_REF_absoule_change']	Daily Max Temps for the Worst 5-Day Heat Wave	Sequential Warm Light-to-Dark (one-sided change)	cmo.amp	1	7	--
TxX5day	['GWL11C_actual_values', 'GWL15C_actual_values', 'GWL20C_actual_values', 'GWL25C_actual_values', 'REF_actual_values']	Daily Max Temps for the Worst 5-Day Heat Wave	Sequential Warm Light-to-Dark (actual values)	updated_govoffice_heat	60	110	--
WBGTx80F	['GWL11C_minus_REF_absoule_change', 'GWL15C_minus_REF_absoule_change', 'GWL20C_minus_REF_absoule_change', 'GWL25C_minus_REF_absoule_change']	Days when it feels over 80 °F	Sequential Warm Light-to-Dark (one-sided change)	cmo.amp	0	40	--
WBGTx80F	['GWL11C_actual_values', 'GWL15C_actual_values', 'GWL20C_actual_values', 'GWL25C_actual_values', 'REF_actual_values']	Days when it feels over 80 °F	Sequential Warm Light-to-Dark (actual values)	updated_govoffice_heat	0	50	--
wind_drought_duration	['GWL20C_ANN_actual_values', 'GWL20C_SON_actual_values', 'GWL20C_DJF_actual_values', 'GWL20C_MAM_actual_values', 'GWL20C_JJA_actual_values', 'GWL25C_ANN_actual_values', 'GWL25C_SON_actual_values', 'GWL25C_DJF_actual_values', 'GWL25C_MAM_actual_values', 'GWL25C_JJA_actual_values', 'hist_ANN_actual_values', 'hist_SON_actual_values', 'hist_DJF_actual_values', 'hist_MAM_actual_values', 'hist_JJA_actual_values', 'GWL15C_ANN_actual_values', 'GWL15C_SON_actual_values', 'GWL15C_DJF_actual_values', 'GWL15C_MAM_actual_values', 'GWL15C_JJA_actual_values', 'GWL11C_ANN_actual_values', 'GWL11C_SON_actual_values', 'GWL11C_DJF_actual_values', 'GWL11C_MAM_actual_values', 'GWL11C_JJA_actual_values']	Wind Drought Duration	Sequential Deficit Light-to-Dark	cmo.turbid	4	7.5	--
wind_drought_duration	['GWL11C_ANN_absolute_change', 'GWL15C_ANN_absolute_change', 'GWL20C_ANN_absolute_change', 'GWL25C_ANN_absolute_change']	Wind Drought Duration	Diverging Cool-to-Warm	cmo.balance	-0.25	0.25	--
wind_drought_freq	['GWL20C_ANN_actual_values', 'GWL20C_SON_actual_values', 'GWL20C_DJF_actual_values', 'GWL20C_MAM_actual_values', 'GWL20C_JJA_actual_values', 'GWL25C_ANN_actual_values', 'GWL25C_SON_actual_values', 'GWL25C_DJF_actual_values', 'GWL25C_MAM_actual_values', 'GWL25C_JJA_actual_values', 'hist_ANN_actual_values', 'hist_SON_actual_values', 'hist_DJF_actual_values', 'hist_MAM_actual_values', 'hist_JJA_actual_values', 'GWL15C_ANN_actual_values', 'GWL15C_SON_actual_values', 'GWL15C_DJF_actual_values', 'GWL15C_MAM_actual_values', 'GWL15C_JJA_actual_values', 'GWL11C_ANN_actual_values', 'GWL11C_SON_actual_values', 'GWL11C_DJF_actual_values', 'GWL11C_MAM_actual_values', 'GWL11C_JJA_actual_values']	Wind Drought Frequency	Sequential Deficit Light-to-Dark	cmo.turbid	0	6.5	--
wind_drought_freq	['GWL11C_ANN_absolute_change', 'GWL15C_ANN_absolute_change', 'GWL20C_ANN_absolute_change', 'GWL25C_ANN_absolute_change']	Wind Drought Frequency	Diverging Cool-to-Warm	cmo.balance	-0.18	0.18	--
wpd	['10m_GWL20C_SON_actual_values', '10m_GWL20C_DJF_actual_values', '10m_GWL20C_MAM_actual_values', '10m_GWL20C_JJA_actual_values', '10m_GWL20C_ANN_actual_values', '10m_GWL11C_SON_actual_values', '10m_GWL11C_DJF_actual_values', '10m_GWL11C_MAM_actual_values', '10m_GWL11C_JJA_actual_values', '10m_GWL11C_ANN_actual_values', '10m_GWL15C_SON_actual_values', '10m_GWL15C_DJF_actual_values', '10m_GWL15C_MAM_actual_values', '10m_GWL15C_JJA_actual_values', '10m_GWL15C_ANN_actual_values', '10m_hist_SON_actual_values', '10m_hist_DJF_actual_values', '10m_hist_MAM_actual_values', '10m_hist_JJA_actual_values', '10m_hist_ANN_actual_values', '10m_GWL25C_SON_actual_values', '10m_GWL25C_DJF_actual_values', '10m_GWL25C_MAM_actual_values', '10m_GWL25C_JJA_actual_values', '10m_GWL25C_ANN_actual_values', '100m_GWL25C_SON_actual_values', '100m_GWL25C_DJF_actual_values', '100m_GWL25C_MAM_actual_values', '100m_GWL25C_JJA_actual_values', '100m_GWL25C_ANN_actual_values', '100m_hist_SON_actual_values', '100m_hist_DJF_actual_values', '100m_hist_MAM_actual_values', '100m_hist_JJA_actual_values', '100m_hist_ANN_actual_values', '100m_GWL15C_SON_actual_values', '100m_GWL15C_DJF_actual_values', '100m_GWL15C_MAM_actual_values', '100m_GWL15C_JJA_actual_values', '100m_GWL15C_ANN_actual_values', '100m_GWL11C_SON_actual_values', '100m_GWL11C_DJF_actual_values', '100m_GWL11C_MAM_actual_values', '100m_GWL11C_JJA_actual_values', '100m_GWL11C_ANN_actual_values', '100m_GWL20C_SON_actual_values', '100m_GWL20C_DJF_actual_values', '100m_GWL20C_MAM_actual_values', '100m_GWL20C_JJA_actual_values', '100m_GWL20C_ANN_actual_values']	Average Wind Power Density	Sequential Speed Light-to-Dark	cmo.speed	0	3000	--
wpd	['GWL11C_ANN_absolute_change', 'GWL15C_ANN_absolute_change', 'GWL20C_ANN_absolute_change', 'GWL25C_ANN_absolute_change']	Average Wind Power Density	Diverging Cool-to-Warm	cmo.balance	-250	250	--
wspd	['10m_GWL20C_SON_actual_values', '10m_GWL20C_DJF_actual_values', '10m_GWL20C_MAM_actual_values', '10m_GWL20C_JJA_actual_values', '10m_GWL20C_ANN_actual_values', '10m_GWL11C_SON_actual_values', '10m_GWL11C_DJF_actual_values', '10m_GWL11C_MAM_actual_values', '10m_GWL11C_JJA_actual_values', '10m_GWL11C_ANN_actual_values', '10m_GWL15C_SON_actual_values', '10m_GWL15C_DJF_actual_values', '10m_GWL15C_MAM_actual_values', '10m_GWL15C_JJA_actual_values', '10m_GWL15C_ANN_actual_values', '10m_hist_SON_actual_values', '10m_hist_DJF_actual_values', '10m_hist_MAM_actual_values', '10m_hist_JJA_actual_values', '10m_hist_ANN_actual_values', '10m_GWL25C_SON_actual_values', '10m_GWL25C_DJF_actual_values', '10m_GWL25C_MAM_actual_values', '10m_GWL25C_JJA_actual_values', '10m_GWL25C_ANN_actual_values', '100m_GWL25C_SON_actual_values', '100m_GWL25C_DJF_actual_values', '100m_GWL25C_MAM_actual_values', '100m_GWL25C_JJA_actual_values', '100m_GWL25C_ANN_actual_values', '100m_hist_SON_actual_values', '100m_hist_DJF_actual_values', '100m_hist_MAM_actual_values', '100m_hist_JJA_actual_values', '100m_hist_ANN_actual_values', '100m_GWL15C_SON_actual_values', '100m_GWL15C_DJF_actual_values', '100m_GWL15C_MAM_actual_values', '100m_GWL15C_JJA_actual_values', '100m_GWL15C_ANN_actual_values', '100m_GWL11C_SON_actual_values', '100m_GWL11C_DJF_actual_values', '100m_GWL11C_MAM_actual_values', '100m_GWL11C_JJA_actual_values', '100m_GWL11C_ANN_actual_values', '100m_GWL20C_SON_actual_values', '100m_GWL20C_DJF_actual_values', '100m_GWL20C_MAM_actual_values', '100m_GWL20C_JJA_actual_values', '100m_GWL20C_ANN_actual_values']	Wind Turbine Wind Speed	Sequential Speed Light-to-Dark	cmo.speed	0	15	--
wspd	['100m_GWL20C_SON_relative_change', '100m_GWL20C_DJF_relative_change', '100m_GWL20C_MAM_relative_change', '100m_GWL20C_JJA_relative_change', '100m_GWL20C_ANN_relative_change', '100m_GWL25C_SON_relative_change', '100m_GWL25C_DJF_relative_change', '100m_GWL25C_MAM_relative_change', '100m_GWL25C_JJA_relative_change', '100m_GWL25C_ANN_relative_change', '10m_GWL11C_SON_relative_change', '10m_GWL11C_DJF_relative_change', '10m_GWL11C_MAM_relative_change', '10m_GWL11C_JJA_relative_change', '10m_GWL11C_ANN_relative_change', '10m_GWL20C_SON_relative_change', '10m_GWL20C_DJF_relative_change', '10m_GWL20C_MAM_relative_change', '10m_GWL20C_JJA_relative_change', '10m_GWL20C_ANN_relative_change', '100m_GWL15C_SON_relative_change', '100m_GWL15C_DJF_relative_change', '100m_GWL15C_MAM_relative_change', '100m_GWL15C_JJA_relative_change', '100m_GWL15C_ANN_relative_change', '100m_GWL11C_SON_relative_change', '100m_GWL11C_DJF_relative_change', '100m_GWL11C_MAM_relative_change', '100m_GWL11C_JJA_relative_change', '100m_GWL11C_ANN_relative_change', '10m_GWL25C_SON_relative_change', '10m_GWL25C_DJF_relative_change', '10m_GWL25C_MAM_relative_change', '10m_GWL25C_JJA_relative_change', '10m_GWL25C_ANN_relative_change', '10m_GWL15C_SON_relative_change', '10m_GWL15C_DJF_relative_change', '10m_GWL15C_MAM_relative_change', '10m_GWL15C_JJA_relative_change', '10m_GWL15C_ANN_relative_change']	Wind Turbine Wind Speed	Diverging Cool-to-Warm	cmo.balance	-10	10	--
wspd	['GWL11C_ANN_absolute_change', 'GWL15C_ANN_absolute_change', 'GWL20C_ANN_absolute_change', 'GWL25C_ANN_absolute_change']	Wind Turbine Wind Speed	Diverging Cool-to-Warm	cmo.balance	-0.7	0.7	--
wspd10max_p95	['GWL11C_ANN_actual_values', 'GWL11C_SON_actual_values', 'GWL11C_DJF_actual_values', 'GWL11C_MAM_actual_values', 'GWL11C_JJA_actual_values', 'GWL15C_ANN_actual_values', 'GWL15C_SON_actual_values', 'GWL15C_DJF_actual_values', 'GWL15C_MAM_actual_values', 'GWL15C_JJA_actual_values', 'hist_ANN_actual_values', 'hist_SON_actual_values', 'hist_DJF_actual_values', 'hist_MAM_actual_values', 'hist_JJA_actual_values', 'GWL20C_ANN_actual_values', 'GWL20C_SON_actual_values', 'GWL20C_DJF_actual_values', 'GWL20C_MAM_actual_values', 'GWL20C_JJA_actual_values', 'GWL25C_ANN_actual_values', 'GWL25C_SON_actual_values', 'GWL25C_DJF_actual_values', 'GWL25C_MAM_actual_values', 'GWL25C_JJA_actual_values']	Typical Peak-Wind Speed	Sequential Speed Light-to-Dark	cmo.speed	5	20	--
wspd10max_p95	['GWL11C_ANN_absolute_change', 'GWL15C_ANN_absolute_change', 'GWL20C_ANN_absolute_change', 'GWL25C_ANN_absolute_change']	Typical Peak-Wind Speed	Diverging Cool-to-Warm	cmo.balance	-0.9	0.9	--
wspd10mean_p95	['GWL11C_ANN_actual_values', 'GWL11C_SON_actual_values', 'GWL11C_DJF_actual_values', 'GWL11C_MAM_actual_values', 'GWL11C_JJA_actual_values', 'GWL15C_ANN_actual_values', 'GWL15C_SON_actual_values', 'GWL15C_DJF_actual_values', 'GWL15C_MAM_actual_values', 'GWL15C_JJA_actual_values', 'hist_ANN_actual_values', 'hist_SON_actual_values', 'hist_DJF_actual_values', 'hist_MAM_actual_values', 'hist_JJA_actual_values', 'GWL20C_ANN_actual_values', 'GWL20C_SON_actual_values', 'GWL20C_DJF_actual_values', 'GWL20C_MAM_actual_values', 'GWL20C_JJA_actual_values', 'GWL25C_ANN_actual_values', 'GWL25C_SON_actual_values', 'GWL25C_DJF_actual_values', 'GWL25C_MAM_actual_values', 'GWL25C_JJA_actual_values']	Typical Strong-Wind Speed	Sequential Speed Light-to-Dark	cmo.speed	2.5	20	--
wspd10mean_p95	['GWL11C_ANN_absolute_change', 'GWL15C_ANN_absolute_change', 'GWL20C_ANN_absolute_change', 'GWL25C_ANN_absolute_change']	Typical Strong-Wind Speed	Diverging Cool-to-Warm	cmo.balance	-0.9	0.9	--
